normalized_file_title_map
file_name,article_name,normalized_title
New PDFs/Canada in a Changing Climate Synthesis Report.pdf,Canada in a Changing Climate,Canada In A Changing Climate
New PDFs/Project of Learning for a sustainable future-Chp1-What is Climate Change-Why Care.pdf,What is Climate Change - Why Care? - Learning for a Sustainable Future,What Is Climate Change - Why Care? - Learning For A Sustainable Future
New PDFs/4th-BARC-Impact-Report.pdf,BARC Impact Report,Barc Impact Report
New PDFs/Climate Change Adaptation Planning GuideBooks for Indigenous Communties Report.pdf,Climate Change Adaptation PLANNING GUIDEBOOKS for Indigenous Communities,Climate Change Adaptation Planning Guidebooks For Indigenous Communities
New PDFs/A GUIDEBOOK ON CLIMATE SCENARIOS USING CLIMATE INFORMATION TO GUIDE ADAPTATION RESEARCH AND DECISIONS REPORT 2016.pdf,"A GUIDEBOOK ON CLIMATE SCENARIOS 
USING CLIMATE INFORMATION TO GUIDE ADAPTATION RESEARCH AND DECISIONS",A Guidebook On Climate Scenarios Using Climate Information To Guide Adaptation Research And Decisions
New PDFs/A COMMUNITY CLIMATE ADAPTATION PLANNING GUIDE 2021 Report.pdf,A COMMUNITY CLIMATE ADAPTATION PLANNING GUIDE,A Community Climate Adaptation Planning Guide
New PDFs/Fixing Recovery_ Social Capital in Post-Crisis Resilience.pdf,Fixing Recovery: Social Capital in Post-Crisis Resilience,Fixing Recovery: Social Capital In Post-crisis Resilience
New PDFs/Canada's Changing Climate Report 2019.pdf,Canada's Changing Climate ReportCCCR 2019,Canada's Changing Climate Report-cccr 2019
New PDFs/Adapting to Climate Change a Risk Based Guide for Local Governments.pdf,Adapting to Climate Change,Adapting To Climate Change
New PDFs/50 Great Ideas for Inspiring Community Resilience to Climate Change.pdf,50 Great Ideas for Inspiring Community Resilience to Climate Change,50 Great Ideas For Inspiring Community Resilience To Climate Change
New PDFs/BlackCreek Snap Growing Food and Green Opportunities.pdf,"Black Creek SNAP 
Growing Food and Green Opportunities",Black Creek Snap Growing Food And Green Opportunities
New PDFs/Canada in a Changing Climate National Issues Report.pdf,Canada in a Changing Climate,Canada In A Changing Climate
New PDFs/Government of Canada Adaptation Action Plan - Canada.ca.pdf,Government of Canada Adaptation Action Plan,Government Of Canada Adaptation Action Plan
New PDFs/Climate Change Adaptation Planning Toolkit for Indigenous Communities INTRODUCTION.pdf,Climate Change Adaptation PLANNING TOOLKIT for Indigenous Communities,Climate Change Adaptation Planning Toolkit For Indigenous Communities
New PDFs/5 Simple Neighbourly Actions to get Ready for Extreme Heat Together.pdf,5 Simple Neighbourly Actions to Get Ready for Extreme Heat Together,5 Simple Neighbourly Actions To Get Ready For Extreme Heat Together
New PDFs/BUILDING RESILIENT NEIGHBOURHOODS FOUR YEARS LEARNING REPORT 2012-2016.pdf,BUILDING RESILIENT NEIGHBOURHOODS,Building Resilient Neighbourhoods
New PDFs/Guide and Workbook for Municipal Climate Adaptation.pdf,"Changing Communities: Changing Climate, Guide and Workbook for Municipal Climate Adaptation","Changing Communities: Changing Climate, Guide And Workbook For Municipal Climate Adaptation"
New PDFs/Project of Learning for a sustainable future-Chp4-Is it hard to be green.pdf,Is It Hard to Be Green - Learning for a Sustainable Future,Is It Hard To Be Green - Learning For A Sustainable Future
New PDFs/Developing Community Resilience for Climate Adaptation in Toronto Ontario.pdf,"Developing Community Resilience for Climate Adaptation in Toronto, Ontario","Developing Community Resilience For Climate Adaptation In Toronto, Ontario"
New PDFs/Protect your home from Wildfire-FireSmart-Guide_2024.pdf,"FIRESMART
BEGINS AT 
HOME GUIDE",Firesmart Begins At Home Guide
"New PDFs/Spatial Distribution of Heat Vulnerability in Toronto, Canada Paper.pdf","Spatial Distribution of Heat Vulnerability in Toronto, Canada","Spatial Distribution Of Heat Vulnerability In Toronto, Canada"
New PDFs/Climate-Change-Factsheet.pdf,CLIMATE CHANGE in your community,Climate Change In Your Community
New PDFs/Project of Learning for a sustainable future-Chp3-How does addressing climate change make us healthier.pdf,How Does Addressing Climate Change Make Us Healthier - Learning for a Sustainable Future,How Does Addressing Climate Change Make Us Healthier - Learning For A Sustainable Future
New PDFs/K-2-Project of Learning for a sustainable future-Chp5-Indigenous way of Knowing.pdf,Indigenous Ways of Knowing - Learning for a Sustainable Future,Indigenous Ways Of Knowing - Learning For A Sustainable Future
